Organismos;Indicador;Naturaleza económica del gasto;periodo;Total
Consejo Superior de Deportes;Porcentaje;GASTOS DE CAPITAL;2022;99,7
Consejo Superior de Deportes;Porcentaje;GASTOS DE CAPITAL;2021;99,8
Consejo Superior de Deportes;Porcentaje;GASTOS DE CAPITAL;2020;95,3
Consejo Superior de Deportes;Porcentaje;GASTOS DE CAPITAL;2019;97,6
Consejo Superior de Deportes;Porcentaje;GASTOS DE CAPITAL;2018;99,6
Consejo Superior de Deportes;Porcentaje;Inversiones reales;2023;91,5
Consejo Superior de Deportes;Porcentaje;Inversiones reales;2022;89,1
Consejo Superior de Deportes;Porcentaje;Inversiones reales;2021;92,5
Consejo Superior de Deportes;Porcentaje;Inversiones reales;2020;89,6
Consejo Superior de Deportes;Porcentaje;Inversiones reales;2019;91,9
Consejo Superior de Deportes;Porcentaje;Inversiones reales;2018;94,0
Consejo Superior de Deportes;Porcentaje;Transferencias de capital;2023;100,0
Consejo Superior de Deportes;Porcentaje;Transferencias de capital;2022;100,0
Consejo Superior de Deportes;Porcentaje;Transferencias de capital;2021;100,0
Consejo Superior de Deportes;Porcentaje;Transferencias de capital;2020;100,0
Consejo Superior de Deportes;Porcentaje;Transferencias de capital;2019;100,0
Consejo Superior de Deportes;Porcentaje;Transferencias de capital;2018;100,0
Consejo Superior de Deportes;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2023;100,0
Consejo Superior de Deportes;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2022;80,0
Consejo Superior de Deportes;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2021;100,0
Consejo Superior de Deportes;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2020;100,0
Consejo Superior de Deportes;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2019;100,0
Consejo Superior de Deportes;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2018;99,6
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;TOTAL (Miles de euros);2023;5.260,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;TOTAL (Miles de euros);2022;8.649,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;TOTAL (Miles de euros);2021;7.608,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;TOTAL (Miles de euros);2020;11.253,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;TOTAL (Miles de euros);2019;8.258,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;TOTAL (Miles de euros);2018;8.459,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS CORRIENTES;2023;5.046,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS CORRIENTES;2022;8.386,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS CORRIENTES;2021;7.468,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS CORRIENTES;2020;11.045,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS CORRIENTES;2019;8.083,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS CORRIENTES;2018;8.362,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos de personal;2023;1.445,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos de personal;2022;3.641,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos de personal;2021;3.819,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos de personal;2020;3.675,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos de personal;2019;3.899,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos de personal;2018;3.779,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos corrientes en bienes y servicios;2023;2.929,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos corrientes en bienes y servicios;2022;4.111,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos corrientes en bienes y servicios;2021;3.063,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos corrientes en bienes y servicios;2020;3.837,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos corrientes en bienes y servicios;2019;3.673,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos corrientes en bienes y servicios;2018;4.121,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos financieros;2023;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos financieros;2022;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos financieros;2021;0,0
