Tipo de entidad;Indicador;Comunidad autónoma;periodo;Total
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2023;80.726
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2022;76.098
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2021;62.473
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2020;64.673
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2019;63.162
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2018;61.016
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2017;61.493
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2016;53.869
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2015;49.942
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2014;51.119
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2013;50.748
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2012;58.048
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2011;61.866
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Balears, Illes;2010;77.469
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2023;123.613
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2022;104.947
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2021;91.600
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2020;83.822
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2019;87.167
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2018;79.242
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2017;71.875
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Canarias;2016;65.266
