Indicador;Número de asalariados;periodo;Total
En % total de empresas;De 100 y más asalariados;2024;1,4
En % total de empresas;De 100 y más asalariados;2023;1,3
En % total de empresas;De 100 y más asalariados;2022;1,8
En % total de empresas;De 100 y más asalariados;2021;2,0
En % total de empresas;De 100 y más asalariados;2020;1,9
En % total de empresas;De 100 y más asalariados;2019;1,8
En % total de empresas;De 100 y más asalariados;2018;1,6
En % total de empresas;De 100 y más asalariados;2017;1,6
En % total de empresas;De 100 y más asalariados;2016;1,5
En % total de empresas;De 100 y más asalariados;2015;1,4
En % total de empresas;De 100 y más asalariados;2014;1,4
En % total de empresas;De 100 y más asalariados;2013;1,3
En % total de empresas;De 100 y más asalariados;2012;1,2
En % total de empresas;De 100 y más asalariados;2011;1,3
En % total de empresas;De 100 y más asalariados;2010;1,2
En % total de empresas;De 100 y más asalariados;2009;1,1
En % total de empresas;De 100 y más asalariados;2008;1,2
Porcentaje (de empresas vinculadas al deporte);TOTAL;2024;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2023;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2022;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2021;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2020;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2019;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2018;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2017;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2016;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2015;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2014;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2013;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2012;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2011;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2010;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2009;100,0
Porcentaje (de empresas vinculadas al deporte);TOTAL;2008;100,0
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2024;37,4
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2023;37,8
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2022;43,0
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2021;41,9
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2020;41,7
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2019;41,0
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2018;43,1
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2017;42,5
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2016;42,2
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2015;43,3
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2014;43,1
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2013;43,1
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2012;46,4
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2011;46,7
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2010;45,0
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2009;41,1
Porcentaje (de empresas vinculadas al deporte);Sin asalariados;2008;40,0
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2024;47,7
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2023;47,3
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2022;43,4
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2021;44,9
